ProductID,StyleCode,ProductName,DepartmentName,CategoryName,SupplierID,SeasonCode,ListPrice,UnitCost,LaunchDate,IsRfidTagged
P0001,YK-FOO-0001,Cascade Ridge Hiking Boot,Footwear,Hiking Boots,SUP04,SS26,271.95,128.94,2024-10-11,true
P0002,YK-FOO-0002,Talus Hiking Boot,Footwear,Hiking Boots,SUP07,SS25,190.95,78.05,2023-11-14,true
P0003,YK-FOO-0003,Timberline Hiking Boot,Footwear,Hiking Boots,SUP03,FW25,164.95,82.88,2023-10-25,true
P0004,YK-FOO-0004,Granite Hiking Boot,Footwear,Hiking Boots,SUP06,SS25,240.95,113.76,2024-03-18,true
P0005,YK-FOO-0005,Larkspur Trail Runner,Footwear,Trail Runners,SUP02,AllSeason,133.95,57.40,2023-08-22,true
P0006,YK-FOO-0006,Summit Trail Runner,Footwear,Trail Runners,SUP05,SS26,162.95,72.02,2024-09-10,true
P0007,YK-FOO-0007,Selkirk Trail Runner,Footwear,Trail Runners,SUP01,FW25,126.95,50.66,2024-05-14,true
P0008,YK-FOO-0008,Glacier Trail Runner,Footwear,Trail Runners,SUP04,AllSeason,135.95,66.10,2024-06-14,true
P0009,YK-FOO-0009,Alpine Approach Shoe,Footwear,Approach Shoes,SUP07,FW25,119.95,50.35,2024-01-14,true
P0010,YK-FOO-0010,Chinook Approach Shoe,Footwear,Approach Shoes,SUP03,SS25,108.95,50.77,2023-11-17,true
P0011,YK-FOO-0011,Aspen Approach Shoe,Footwear,Approach Shoes,SUP06,AllSeason,157.95,64.70,2024-03-01,true
P0012,YK-FOO-0012,Basin Approach Shoe,Footwear,Approach Shoes,SUP02,FW25,116.95,49.13,2024-06-21,true
P0013,YK-FOO-0013,Sawtooth Insulated Boot,Footwear,Insulated Boots,SUP05,AllSeason,175.95,77.03,2024-11-06,true
P0014,YK-FOO-0014,Wolverine Insulated Boot,Footwear,Insulated Boots,SUP01,SS26,189.95,76.85,2024-06-05,true
P0015,YK-FOO-0015,Cirque Insulated Boot,Footwear,Insulated Boots,SUP04,AllSeason,219.95,96.98,2023-11-18,true
P0016,YK-FOO-0016,Kestrel Insulated Boot,Footwear,Insulated Boots,SUP07,FW25,218.95,84.90,2024-05-25,true
P0017,YK-APP-0017,Juniper Rain Shell,Apparel,Rain Shells,SUP03,SS25,159.95,75.63,2024-08-21,true
P0018,YK-APP-0018,Cascade Ridge Rain Shell,Apparel,Rain Shells,SUP06,AllSeason,180.95,76.28,2024-07-29,true
P0019,YK-APP-0019,Ridgeline Rain Shell,Apparel,Rain Shells,SUP02,AllSeason,250.95,113.30,2024-10-05,true
P0020,YK-APP-0020,Talus Down Jacket,Apparel,Insulated Jackets,SUP05,FW25,425.95,217.91,2023-10-08,true
P0021,YK-APP-0021,Timberline Down Jacket,Apparel,Insulated Jackets,SUP01,SS26,278.95,129.34,2023-10-15,true
P0022,YK-APP-0022,Granite Down Jacket,Apparel,Insulated Jackets,SUP04,FW25,439.95,183.11,2023-08-24,true
P0023,YK-APP-0023,Larkspur Fleece,Apparel,Fleece,SUP07,SS25,132.95,63.21,2023-07-29,true
P0024,YK-APP-0024,Summit Fleece,Apparel,Fleece,SUP03,SS26,122.95,56.39,2023-09-22,true
P0025,YK-APP-0025,Selkirk Fleece,Apparel,Fleece,SUP06,FW25,95.95,37.91,2024-10-19,true
P0026,YK-APP-0026,Glacier Base Layer,Apparel,Base Layers,SUP02,SS26,52.95,23.28,2023-09-13,true
